2022-09-01 15:26:42,358 INFO    MainThread:21107 [wandb_setup.py:_flush():76] Configure stats pid to 21107
2022-09-01 15:26:42,359 INFO    MainThread:21107 [wandb_setup.py:_flush():76] Loading settings from /Users/sagarkarki/.config/wandb/settings
2022-09-01 15:26:42,359 INFO    MainThread:21107 [wandb_setup.py:_flush():76] Loading settings from /Users/sagarkarki/Desktop/Project/Apply1/MyApp/wandb/settings
2022-09-01 15:26:42,359 INFO    MainThread:21107 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'_require_service': 'True'}
2022-09-01 15:26:42,359 INFO    MainThread:21107 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'app.py', 'program': '/Users/sagarkarki/Desktop/Project/Apply1/MyApp/app.py'}
2022-09-01 15:26:42,359 INFO    MainThread:21107 [wandb_init.py:_log_setup():461] Logging user logs to /Users/sagarkarki/Desktop/Project/Apply1/MyApp/wandb/run-20220901_152642-3chrl5m7/logs/debug.log
2022-09-01 15:26:42,359 INFO    MainThread:21107 [wandb_init.py:_log_setup():462] Logging internal logs to /Users/sagarkarki/Desktop/Project/Apply1/MyApp/wandb/run-20220901_152642-3chrl5m7/logs/debug-internal.log
2022-09-01 15:26:42,359 INFO    MainThread:21107 [wandb_init.py:init():495] calling init triggers
2022-09-01 15:26:42,359 INFO    MainThread:21107 [wandb_init.py:init():498] wandb.init called with sweep_config: {}
config: {}
2022-09-01 15:26:42,359 INFO    MainThread:21107 [wandb_init.py:init():548] starting backend
2022-09-01 15:26:42,359 INFO    MainThread:21107 [wandb_init.py:init():552] setting up manager
2022-09-01 15:26:42,364 INFO    MainThread:21107 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2022-09-01 15:26:42,366 INFO    MainThread:21107 [wandb_init.py:init():558] backend started and connected
2022-09-01 15:26:42,371 INFO    MainThread:21107 [wandb_init.py:init():636] updated telemetry
2022-09-01 15:26:42,372 INFO    MainThread:21107 [wandb_init.py:init():667] communicating run to backend with 30 second timeout
2022-09-01 15:26:42,652 INFO    MainThread:21107 [wandb_run.py:_on_init():1982] communicating current version
2022-09-01 15:26:42,743 INFO    MainThread:21107 [wandb_run.py:_on_init():1986] got version response 
2022-09-01 15:26:42,743 INFO    MainThread:21107 [wandb_init.py:init():700] starting run threads in backend
2022-09-01 15:26:45,069 INFO    MainThread:21107 [wandb_run.py:_console_start():1962] atexit reg
2022-09-01 15:26:45,069 INFO    MainThread:21107 [wandb_run.py:_redirect():1820] redirect: SettingsConsole.WRAP_RAW
2022-09-01 15:26:45,069 INFO    MainThread:21107 [wandb_run.py:_redirect():1885] Wrapping output streams.
2022-09-01 15:26:45,069 INFO    MainThread:21107 [wandb_run.py:_redirect():1907] Redirects installed.
2022-09-01 15:26:45,070 INFO    MainThread:21107 [wandb_init.py:init():732] run started, returning control to user process
